psnr,ssim,subject
46.57601400255806,0.9963065753316552,Center001_UIH_30T_umr780_P040_cine_lax_4ch
44.62691250283515,0.9935383033325568,Center001_UIH_30T_umr780_P041_cine_lax_3ch
45.591698401289,0.9953811660397172,Center001_UIH_30T_umr780_P042_cine_sax
40.0751950925863,0.9900371666483988,Center001_UIH_30T_umr780_P043_lge_lax_2ch
40.25300790383633,0.9947054740885543,Center001_UIH_30T_umr780_P046_T2map
36.79266291237684,0.9856650051423818,Center001_UIH_30T_umr780_P046_cine_lax_3ch
48.814944471076316,0.9971578463949342,Center001_UIH_30T_umr780_P047_T2w
38.59927782636841,0.982994955927859,Center001_UIH_30T_umr780_P049_lge_lax_2ch
37.89090693528046,0.9817784941476044,Center001_UIH_30T_umr780_P051_T1mappost
43.18206779660726,0.9892627991983335,Center001_UIH_30T_umr780_P053_T1rho
38.58710327878542,0.9872367302182337,Center001_UIH_30T_umr780_P053_cine_lax_3ch
39.0424623030284,0.9872733162131231,Center001_UIH_30T_umr780_P054_T1rho
35.45374368398413,0.9753957524217463,Center001_UIH_30T_umr780_P054_lge_lax_2ch
39.69518701822558,0.9880164210522372,Center001_UIH_30T_umr780_P054_perfusion
37.26451652571996,0.9862438835047718,Center001_UIH_30T_umr780_P058_lge_lax_2ch
37.79533812460431,0.9837589080729868,Center001_UIH_30T_umr780_P060_T2map
38.26017318669634,0.9865381085297334,Center001_UIH_30T_umr780_P060_cine_sax
34.552228869710646,0.9707436017990398,Center001_UIH_30T_umr780_P060_lge_lax_2ch
35.74146198356388,0.962791690099895,Center001_UIH_30T_umr780_P060_lge_lax_4ch
39.138421622704186,0.9857397266723171,Center001_UIH_30T_umr780_P061_T1map
41.757421636058424,0.9799488984017113,Center001_UIH_30T_umr780_P061_lge_lax_4ch
38.29808936433394,0.9841576537060233,Center001_UIH_30T_umr780_P061_perfusion
38.1319972754732,0.9922046422968775,Center002_Siemens_30T_CIMA.X_P002_T2map
38.42756045911955,0.9761223182247055,Center002_Siemens_30T_CIMA.X_P002_lge_lax
41.68575609267316,0.9920476590414893,Center002_Siemens_30T_CIMA.X_P002_lge_sax
44.81199175686791,0.9954778352158904,Center002_Siemens_30T_CIMA.X_P005_lge_sax
43.954083111306346,0.9889626169241681,Center002_Siemens_30T_CIMA.X_P007_lge_lax
47.700049206583806,0.9972891291081062,Center002_Siemens_30T_CIMA.X_P012_cine_lax
41.56749126582285,0.9869113397017728,Center002_Siemens_30T_CIMA.X_P012_lge_lax
43.57066156858983,0.9890707263973165,Center002_Siemens_30T_CIMA.X_P015_cine_lax
45.773619944260346,0.9942882576289728,Center002_Siemens_30T_CIMA.X_P019_T1map
33.77334731289974,0.985143971297452,Center002_Siemens_30T_CIMA.X_P019_T2map
41.17274096952047,0.9905455947431112,Center002_UIH_30T_umr880_P001_cine_lax_3ch
38.9328009827794,0.9910274958847967,Center002_UIH_30T_umr880_P001_cine_sax
